32
0 2
2 0
0 10
10 0
0 12
12 0
0 15
15 0
0 19
19 0
0 20
20 0
0 24
24 0
0 25
25 0
0 26
26 0
0 28
28 0
0 31
31 0
1 4
4 1
1 13
13 1
1 15
15 1
1 16
16 1
1 27
27 1
1 28
28 1
2 5
5 2
2 8
8 2
2 17
17 2
2 19
19 2
2 25
25 2
2 28
28 2
3 6
6 3
3 9
9 3
3 18
18 3
3 20
20 3
3 22
22 3
3 27
27 3
3 30
30 3
4 15
15 4
4 17
17 4
4 18
18 4
4 19
19 4
4 20
20 4
4 21
21 4
4 22
22 4
4 23
23 4
4 24
24 4
4 25
25 4
4 26
26 4
5 8
8 5
5 9
9 5
5 12
12 5
5 14
14 5
5 16
16 5
5 18
18 5
5 20
20 5
5 22
22 5
5 24
24 5
5 29
29 5
6 8
8 6
6 9
9 6
6 10
10 6
6 13
13 6
6 15
15 6
6 18
18 6
6 21
21 6
6 28
28 6
7 13
13 7
7 18
18 7
7 23
23 7
7 24
24 7
7 27
27 7
7 28
28 7
8 16
16 8
8 20
20 8
8 21
21 8
8 23
23 8
8 24
24 8
8 27
27 8
8 31
31 8
9 15
15 9
9 16
16 9
9 19
19 9
9 22
22 9
9 24
24 9
9 27
27 9
9 30
30 9
10 13
13 10
10 14
14 10
10 17
17 10
10 19
19 10
10 20
20 10
10 24
24 10
10 25
25 10
10 27
27 10
10 30
30 10
11 19
19 11
11 24
24 11
11 26
26 11
11 30
30 11
12 15
15 12
12 23
23 12
12 24
24 12
12 25
25 12
12 26
26 12
13 14
14 13
13 18
18 13
13 22
22 13
13 23
23 13
13 24
24 13
13 25
25 13
14 15
15 14
14 16
16 14
14 21
21 14
14 23
23 14
14 26
26 14
15 20
20 15
15 21
21 15
15 22
22 15
15 24
24 15
15 25
25 15
15 31
31 15
16 20
20 16
16 22
22 16
16 25
25 16
16 26
26 16
16 27
27 16
17 20
20 17
17 23
23 17
17 30
30 17
18 19
19 18
18 20
20 18
18 21
21 18
18 22
22 18
18 24
24 18
19 26
26 19
19 27
27 19
19 28
28 19
19 29
29 19
19 30
30 19
20 26
26 20
20 27
27 20
20 29
29 20
20 30
30 20
21 25
25 21
21 26
26 21
21 28
28 21
23 24
24 23
23 27
27 23
23 29
29 23
24 25
25 24
24 28
28 24
24 29
29 24
25 26
26 25
25 30
30 25
26 28
28 26
30 31
31 30
