44 86
4
4
4
4
4
4
4
4
4
4
4
4
6
4
6
4
11
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
0 1
0 17
0 18
0 19
1 0
1 2
1 20
1 21
2 1
2 3
2 22
2 23
3 2
3 4
3 24
3 25
4 3
4 5
4 26
4 27
5 4
5 6
5 28
5 29
6 5
6 7
6 11
6 30
7 6
7 8
7 31
7 32
8 7
8 9
8 33
8 34
9 8
9 10
9 35
9 36
10 9
10 37
10 38
10 39
11 6
11 12
11 40
11 41
12 11
12 13
13 12
13 14
13 15
14 13
15 13
15 16
15 42
15 43
16 15
17 0
18 0
19 0
20 1
21 1
22 2
23 2
24 3
25 3
26 4
27 4
28 5
29 5
30 6
31 7
32 7
33 8
34 8
35 9
36 9
37 10
38 10
39 10
40 11
41 11
42 15
43 15
