54 210
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
0 1
0 2
0 4
0 5
0 6
1 0
1 2
1 3
2 0
2 1
2 7
2 5
2 8
3 1
3 4
3 40
3 41
3 43
4 0
4 3
4 22
4 23
4 24
5 0
5 2
5 6
5 24
5 42
6 0
6 5
6 25
6 43
7 2
7 9
7 10
7 8
7 11
8 2
8 7
8 11
9 7
9 10
9 12
9 11
10 7
10 9
10 12
10 13
11 7
11 8
11 9
11 13
11 27
11 32
11 45
11 50
12 9
12 10
12 14
12 13
13 10
13 11
13 12
13 30
13 48
14 12
14 15
14 16
15 14
15 16
15 17
15 18
16 14
16 15
16 17
16 19
16 18
17 15
17 16
17 20
18 15
18 16
18 35
18 38
19 16
19 35
19 36
19 39
20 17
20 21
21 20
21 39
21 53
22 4
22 23
22 25
23 4
23 22
23 26
23 25
23 27
24 4
24 5
25 6
25 22
25 23
26 23
26 28
26 29
26 27
26 30
27 11
27 23
27 26
28 26
28 29
28 31
28 30
29 26
29 28
29 31
29 32
30 13
30 26
30 28
31 28
31 29
31 33
31 34
31 32
32 11
32 29
32 31
33 31
33 35
33 36
34 31
34 49
34 51
34 52
35 18
35 19
35 33
35 36
35 37
35 38
36 19
36 33
36 35
36 37
37 35
37 36
37 38
38 18
38 35
38 37
38 51
38 52
39 19
39 21
40 3
40 41
40 42
41 3
41 40
41 44
41 43
41 45
42 5
42 40
43 3
43 6
43 41
44 41
44 46
44 47
44 45
44 48
45 11
45 41
45 44
46 44
46 47
46 49
46 48
47 44
47 46
47 49
47 50
48 13
48 44
48 46
49 34
49 46
49 47
49 50
50 11
50 47
50 49
51 34
51 38
51 52
51 53
52 34
52 38
52 51
52 53
53 21
53 51
53 52
